asn,name,orig_prefix,orig_prefix_len,net24,target_ip,ptr,ping,score,reason
4780,SEEDNet,61.58.159.0/24,24,61.58.159.0/24,61.58.159.1,1-159-58-61.tinp.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,61.59.6.0/24,24,61.59.6.0/24,61.59.6.1,h1-61-59-6.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,61.59.12.0/24,24,61.59.12.0/24,61.59.12.1,sw59-12-1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,61.59.36.0/24,24,61.59.36.0/24,61.59.36.1,h1-61-59-36.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,61.59.37.0/24,24,61.59.37.0/24,61.59.37.1,h1-61-59-37.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,61.59.81.0/24,24,61.59.81.0/24,61.59.81.1,h1-61-59-81.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,61.59.97.0/24,24,61.59.97.0/24,61.59.97.1,h1-61-59-97.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,61.59.101.0/24,24,61.59.101.0/24,61.59.101.1,h1-61-59-101.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,61.59.126.0/24,24,61.59.126.0/24,61.59.126.1,h1-61-59-126.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,61.66.52.0/24,24,61.66.52.0/24,61.66.52.1,adsl-61-66-52-1.kh.sparqnet.net,False,130.0,base_prflen=24;ptr
4780,SEEDNet,61.66.53.0/24,24,61.66.53.0/24,61.66.53.1,adsl-61-66-53-1.kh.sparqnet.net,False,130.0,base_prflen=24;ptr
4780,SEEDNet,61.66.54.0/24,24,61.66.54.0/24,61.66.54.1,adsl-61-66-54-1.tc.sparqnet.net,False,130.0,base_prflen=24;ptr
4780,SEEDNet,61.66.55.0/24,24,61.66.55.0/24,61.66.55.1,adsl-61-66-55-1.kh.sparqnet.net,False,130.0,base_prflen=24;ptr
4780,SEEDNet,61.66.56.0/24,24,61.66.56.0/24,61.66.56.1,adsl-61-66-56-1.khon.sparqnet.net,False,130.0,base_prflen=24;ptr
4780,SEEDNet,61.66.58.0/24,24,61.66.58.0/24,61.66.58.1,adsl-61-66-58-1.kh.sparqnet.net,False,130.0,base_prflen=24;ptr
4780,SEEDNet,61.66.60.0/24,24,61.66.60.0/24,61.66.60.1,adsl-61-66-60-1.kh.sparqnet.net,False,130.0,base_prflen=24;ptr
4780,SEEDNet,61.66.68.0/24,24,61.66.68.0/24,61.66.68.1,adsl-61-66-68-1.kh.sparqnet.net,False,130.0,base_prflen=24;ptr
4780,SEEDNet,61.66.69.0/24,24,61.66.69.0/24,61.66.69.1,adsl-61-66-69-1.kh.sparqnet.net,False,130.0,base_prflen=24;ptr
4780,SEEDNet,61.66.71.0/24,24,61.66.71.0/24,61.66.71.1,adsl-61-66-71-1.kh.sparqnet.net,False,130.0,base_prflen=24;ptr
4780,SEEDNet,61.66.80.0/24,24,61.66.80.0/24,61.66.80.1,adsl-61-66-80-1.nh.sparqnet.net,False,130.0,base_prflen=24;ptr
4780,SEEDNet,61.66.81.0/24,24,61.66.81.0/24,61.66.81.1,adsl-61-66-81-1.nh.sparqnet.net,False,130.0,base_prflen=24;ptr
4780,SEEDNet,61.66.92.0/24,24,61.66.92.0/24,61.66.92.1,adsl-61-66-92-1.kh.sparqnet.net,False,130.0,base_prflen=24;ptr
4780,SEEDNet,61.66.93.0/24,24,61.66.93.0/24,61.66.93.1,adsl-61-66-93-1.kh.sparqnet.net,False,130.0,base_prflen=24;ptr
