ASN,Org,Prefix,Center_IP,PTR_Hostname,Status,Country,Region,City,Latitude,Longitude,Message
1659,TANet,140.127.59.0/24,140.127.59.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.60.0/24,140.127.60.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.61.0/24,140.127.61.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.63.0/24,140.127.63.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.64.0/24,140.127.64.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.65.0/24,140.127.65.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.67.0/24,140.127.67.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.68.0/24,140.127.68.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.69.0/24,140.127.69.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.70.0/24,140.127.70.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.71.0/24,140.127.71.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.72.0/24,140.127.72.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.73.0/24,140.127.73.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.74.0/24,140.127.74.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.75.0/24,140.127.75.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.76.0/24,140.127.76.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.77.0/24,140.127.77.128,www.2014itcom.nknu.edu.tw,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.78.0/24,140.127.78.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.79.0/24,140.127.79.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.80.0/24,140.127.80.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.82.0/23,140.127.83.0,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.84.0/23,140.127.85.0,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.176.0/20,140.127.184.0,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.192.0/22,140.127.194.0,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.127.196.0/24,140.127.196.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.128.0.0/13,140.132.0.0,,success,Taiwan,Taiwan,Daxi,24.8786,121.266,
1659,TANet,140.128.1.0/24,140.128.1.128,,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
1659,TANet,140.128.2.0/23,140.128.3.0,,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
1659,TANet,140.128.4.0/22,140.128.6.0,,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
1659,TANet,140.128.8.0/21,140.128.12.0,,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
1659,TANet,140.128.16.0/20,140.128.24.0,,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
1659,TANet,140.128.32.0/20,140.128.40.0,,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
1659,TANet,140.128.48.0/23,140.128.49.0,,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
1659,TANet,140.128.50.0/24,140.128.50.128,,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
1659,TANet,140.128.96.0/19,140.128.112.0,,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
1659,TANet,140.128.128.0/21,140.128.132.0,,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
1659,TANet,140.128.191.0/24,140.128.191.128,,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
1659,TANet,140.128.192.0/21,140.128.196.0,,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
1659,TANet,140.130.1.0/24,140.130.1.128,,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
1659,TANet,140.130.2.0/23,140.130.3.0,,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
1659,TANet,140.130.4.0/22,140.130.6.0,,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
1659,TANet,140.130.8.0/21,140.130.12.0,,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
1659,TANet,140.130.16.0/20,140.130.24.0,,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
1659,TANet,140.130.32.0/21,140.130.36.0,,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
1659,TANet,140.130.40.0/24,140.130.40.128,,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
1659,TANet,140.130.101.0/24,140.130.101.128,pc128.wfu.edu.tw,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
1659,TANet,140.130.102.0/23,140.130.103.0,,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
1659,TANet,140.130.104.0/21,140.130.108.0,,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
1659,TANet,140.130.112.0/20,140.130.120.0,,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
1659,TANet,140.130.128.0/23,140.130.129.0,,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
1659,TANet,140.130.130.0/24,140.130.130.128,,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
1659,TANet,140.130.171.0/24,140.130.171.128,171128.cc.ncyu.edu.tw,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
1659,TANet,140.130.175.0/24,140.130.175.128,,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
1659,TANet,140.131.1.0/24,140.131.1.128,,success,Taiwan,Taiwan,Taipei,25.0173,121.54,
1659,TANet,140.131.2.0/23,140.131.3.0,,success,Taiwan,Taiwan,Taipei,25.0173,121.54,
1659,TANet,140.131.4.0/22,140.131.6.0,,success,Taiwan,Taiwan,Taipei,25.0173,121.54,
1659,TANet,140.131.8.0/21,140.131.12.0,,success,Taiwan,Taiwan,Taipei,25.0173,121.54,
1659,TANet,140.131.16.0/22,140.131.18.0,,success,Taiwan,Taiwan,Taipei,25.0173,121.54,
1659,TANet,140.131.20.0/24,140.131.20.128,,success,Taiwan,Taiwan,Taipei,25.0173,121.54,
1659,TANet,140.131.150.0/23,140.131.151.0,0.151.131.140.dorm.ip4.au.edu.tw,success,Taiwan,Taiwan,Taipei,25.0173,121.54,
1659,TANet,140.131.152.0/21,140.131.156.0,0.156.131.140.ip4.au.edu.tw,success,Taiwan,Taiwan,Taipei,25.0173,121.54,
1659,TANet,140.131.160.0/19,140.131.176.0,0.176.131.140.ip4.au.edu.tw,success,Taiwan,Taiwan,Taipei,25.0173,121.54,
1659,TANet,140.133.32.0/19,140.133.48.0,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,140.134.0.0/16,140.134.128.0,,success,Taiwan,Taichung City,Taichung,24.144,120.6844,
1659,TANet,140.136.0.0/15,140.137.0.0,,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
1659,TANet,140.138.0.0/16,140.138.128.0,,success,Taiwan,New Taipei City,Banqiao,25.0104,121.4684,
1659,TANet,163.13.0.0/16,163.13.128.0,,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
1659,TANet,163.14.0.0/15,163.15.0.0,,success,Taiwan,Kaohsiung,Kaohsiung,22.6283,120.265,
1659,TANet,163.15.15.0/24,163.15.15.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6283,120.265,
1659,TANet,163.15.151.0/24,163.15.151.128,c151-128.ip.kmu.edu.tw,success,Taiwan,Kaohsiung,Kaohsiung,22.6283,120.265,
1659,TANet,163.15.152.0/21,163.15.156.0,,success,Taiwan,Kaohsiung,Kaohsiung,22.6283,120.265,
1659,TANet,163.15.160.0/20,163.15.168.0,,success,Taiwan,Kaohsiung,Kaohsiung,22.6283,120.265,
1659,TANet,163.15.176.0/22,163.15.178.0,,success,Taiwan,Kaohsiung,Kaohsiung,22.6283,120.265,
1659,TANet,163.15.180.0/24,163.15.180.128,c128.kmhk.kmu.edu.tw,success,Taiwan,Kaohsiung,Kaohsiung,22.6283,120.265,
1659,TANet,163.15.185.0/24,163.15.185.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6283,120.265,
1659,TANet,163.15.188.0/22,163.15.190.0,,success,Taiwan,Kaohsiung,Kaohsiung,22.6283,120.265,
1659,TANet,163.15.192.0/24,163.15.192.128,,success,Taiwan,Kaohsiung,Kaohsiung,22.6283,120.265,
1659,TANet,163.16.0.0/13,163.20.0.0,,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
1659,TANet,163.24.0.0/14,163.26.0.0,,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
1659,TANet,163.24.242.0/23,163.24.243.0,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,163.24.244.0/22,163.24.246.0,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
1659,TANet,163.24.248.0/21,163.24.252.0,,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
