ASN,Org,Prefix,Center_IP,PTR_Hostname,Status,Country,Region,City,Latitude,Longitude,Message
4780,SEEDNet,211.74.64.0/18,211.74.96.0,211-74-96-0.adsl.dynamic.seed.net.tw,success,Taiwan,Taoyuan,Taoyuan District,24.9889,121.3176,
4780,SEEDNet,211.74.96.0/19,211.74.112.0,211-74-112-0.static.seed.net.tw,success,Taiwan,Taoyuan,Taoyuan District,24.9889,121.3176,
4780,SEEDNet,211.74.101.0/24,211.74.101.128,211-74-101-128.adsl.dynamic.seed.net.tw,success,Taiwan,Taoyuan,Taoyuan District,24.9889,121.3176,
4780,SEEDNet,211.74.128.0/19,211.74.144.0,h0.144.74.211.seed.net.tw,success,Taiwan,Taiwan,Taipei,25.0501,121.565,
4780,SEEDNet,211.74.128.0/18,211.74.160.0,h0.160.74.211.seed.net.tw,success,Taiwan,Taiwan,Taipei,25.0501,121.565,
4780,SEEDNet,211.74.133.0/24,211.74.133.128,swtp133-128.adsl.dynamic.seed.net.tw,success,Taiwan,Taiwan,Taipei,25.0423,121.567,
4780,SEEDNet,211.74.160.0/19,211.74.176.0,211-74-176-0.adsl.dynamic.seed.net.tw,success,Taiwan,Taiwan,Taipei,25.0423,121.567,
4780,SEEDNet,211.74.192.0/18,211.74.224.0,211-74-224-0.static.seed.net.tw,success,Taiwan,Taiwan,Taipei,25.0501,121.565,
4780,SEEDNet,211.74.192.0/19,211.74.208.0,211-74-208-0.adsl.dynamic.seed.net.tw,success,Taiwan,Taiwan,Taipei,25.0423,121.567,
4780,SEEDNet,211.74.224.0/19,211.74.240.0,211-74-240-0.adsl.dynamic.seed.net.tw,success,Taiwan,Tainan,Tainan City,22.9917,120.2148,
4780,SEEDNet,211.74.227.0/24,211.74.227.128,211-74-227-128.adsl.dynamic.seed.net.tw,success,Taiwan,Taiwan,Taipei,25.0423,121.567,
4780,SEEDNet,211.78.4.0/24,211.78.4.128,,success,Taiwan,Taiwan,Yongkang District,23.0194,120.278,
4780,SEEDNet,211.78.128.0/24,211.78.128.128,,success,Taiwan,Taiwan,Taipei,25.0423,121.567,
4780,SEEDNet,211.78.140.0/24,211.78.140.128,,success,Taiwan,Taiwan,Taipei,25.0423,121.567,
4780,SEEDNet,211.78.184.0/24,211.78.184.128,adsl-211-78-184-128.khon.sparqnet.net,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
4780,SEEDNet,211.78.185.0/24,211.78.185.128,adsl-211-78-185-128.khon.sparqnet.net,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
4780,SEEDNet,211.78.189.0/24,211.78.189.128,adsl-211-78-189-128.jr.sparqnet.net,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
