ASN,Org,Prefix,Center_IP,PTR_Hostname,Status,Country,Region,City,Latitude,Longitude,Message
3462,HiNet,59.115.0.0/16,59.115.128.0,59-115-128-0.dynamic-ip.hinet.net,success,Taiwan,Hsinchu City,Hsinchu,24.8065,120.9706,
3462,HiNet,59.116.0.0/16,59.116.128.0,59-116-128-0.dynamic-ip.hinet.net,success,Taiwan,Taiwan,Taipei,25.033,121.565,
3462,HiNet,59.117.0.0/16,59.117.128.0,59-117-128-0.dynamic-ip.hinet.net,success,Taiwan,Taiwan,Taipei,25.033,121.565,
3462,HiNet,59.118.0.0/16,59.118.128.0,59-118-128-0.hinet-ip.hinet.net,success,Taiwan,Taiwan,Taipei,25.033,121.565,
3462,HiNet,59.119.0.0/16,59.119.128.0,59-119-128-0.hinet-ip.hinet.net,success,Taiwan,Taiwan,Taipei,25.033,121.565,
3462,HiNet,59.120.0.0/16,59.120.128.0,59-120-128-0.hinet-ip.hinet.net,success,Taiwan,Taipei City,Taipei,25.053,121.5259,
3462,HiNet,59.121.0.0/16,59.121.128.0,59-121-128-0.dynamic-ip.hinet.net,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
3462,HiNet,59.122.0.0/16,59.122.128.0,59-122-128-0.dynamic-ip.hinet.net,success,Taiwan,Taiwan,Taipei,25.033,121.565,
3462,HiNet,59.123.0.0/16,59.123.128.0,59-123-128-0.dynamic-ip.hinet.net,success,Taiwan,Taiwan,Taipei,25.033,121.565,
3462,HiNet,59.124.0.0/16,59.124.128.0,59-124-128-0.hinet-ip.hinet.net,success,Taiwan,Taoyuan,Taoyuan District,24.9889,121.3176,
3462,HiNet,59.125.0.0/16,59.125.128.0,59-125-128-0.hinet-ip.hinet.net,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
3462,HiNet,59.126.0.0/16,59.126.128.0,59-126-128-0.hinet-ip.hinet.net,success,Taiwan,Miaoli,Miaoli,24.5641,120.8275,
3462,HiNet,59.127.0.0/16,59.127.128.0,59-127-128-0.hinet-ip.hinet.net,success,Taiwan,Taichung City,Xitun,24.183,120.6419,
3462,HiNet,60.248.0.0/16,60.248.128.0,60-248-128-0.hinet-ip.hinet.net,success,Taiwan,Taipei City,Taipei,25.053,121.5259,
3462,HiNet,60.249.0.0/16,60.249.128.0,60-249-128-0.hinet-ip.hinet.net,success,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,
3462,HiNet,60.250.0.0/16,60.250.128.0,60-250-128-0.hinet-ip.hinet.net,success,Taiwan,Taipei City,Taipei,25.053,121.5259,
3462,HiNet,60.251.0.0/16,60.251.128.0,60-251-128-0.hinet-ip.hinet.net,success,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,
3462,HiNet,61.216.0.0/16,61.216.128.0,61-216-128-0.hinet-ip.hinet.net,success,Taiwan,Hsinchu City,Hsinchu,24.8065,120.9706,
3462,HiNet,61.217.0.0/16,61.217.128.0,61-217-128-0.dynamic-ip.hinet.net,success,Taiwan,Taiwan,Neihu District,25.0689,121.591,
3462,HiNet,61.218.0.0/16,61.218.128.0,61-218-128-0.hinet-ip.hinet.net,success,Taiwan,Hualien County,Hualien City,23.9807,121.6115,
