asn,name,prefix,family,center_ip,geo_status,geo_message,country,region,city,lat,lon,isp,as,query
1659,TANet,140.127.71.0/24,ipv4,140.127.71.128,success,,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,T-KPPRC.EDU.TW,AS1659 Taiwan Academic Network (TANet) Information Center,140.127.71.128
1659,TANet,140.127.72.0/24,ipv4,140.127.72.128,success,,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,T-KPPRC.EDU.TW,AS1659 Taiwan Academic Network (TANet) Information Center,140.127.72.128
1659,TANet,140.127.73.0/24,ipv4,140.127.73.128,success,,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,T-KPPRC.EDU.TW,AS1659 Taiwan Academic Network (TANet) Information Center,140.127.73.128
1659,TANet,140.127.74.0/24,ipv4,140.127.74.128,success,,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,T-KPPRC.EDU.TW,AS1659 Taiwan Academic Network (TANet) Information Center,140.127.74.128
1659,TANet,140.127.75.0/24,ipv4,140.127.75.128,success,,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,T-KPPRC.EDU.TW,AS1659 Taiwan Academic Network (TANet) Information Center,140.127.75.128
1659,TANet,140.127.76.0/24,ipv4,140.127.76.128,success,,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,T-KPPRC.EDU.TW,AS1659 Taiwan Academic Network (TANet) Information Center,140.127.76.128
1659,TANet,140.127.77.0/24,ipv4,140.127.77.128,success,,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,T-KPPRC.EDU.TW,AS1659 Taiwan Academic Network (TANet) Information Center,140.127.77.128
1659,TANet,140.127.78.0/24,ipv4,140.127.78.128,success,,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,T-KPPRC.EDU.TW,AS1659 Taiwan Academic Network (TANet) Information Center,140.127.78.128
1659,TANet,140.127.79.0/24,ipv4,140.127.79.128,success,,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,T-KPPRC.EDU.TW,AS1659 Taiwan Academic Network (TANet) Information Center,140.127.79.128
1659,TANet,140.127.80.0/24,ipv4,140.127.80.128,success,,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,T-KPPRC.EDU.TW,AS1659 Taiwan Academic Network (TANet) Information Center,140.127.80.128
1659,TANet,140.127.82.0/23,ipv4,140.127.83.0,success,,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,T-KPPRC.EDU.TW,AS1659 Taiwan Academic Network (TANet) Information Center,140.127.83.0
1659,TANet,140.127.84.0/23,ipv4,140.127.85.0,success,,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,T-KPPRC.EDU.TW,AS1659 Taiwan Academic Network (TANet) Information Center,140.127.85.0
1659,TANet,140.127.176.0/20,ipv4,140.127.184.0,success,,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,T-KPPRC.EDU.TW,AS1659 Taiwan Academic Network (TANet) Information Center,140.127.184.0
1659,TANet,140.127.192.0/22,ipv4,140.127.194.0,success,,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,T-KPPRC.EDU.TW,AS1659 Taiwan Academic Network (TANet) Information Center,140.127.194.0
1659,TANet,140.127.196.0/24,ipv4,140.127.196.128,success,,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,T-KPPRC.EDU.TW,AS1659 Taiwan Academic Network (TANet) Information Center,140.127.196.128
1659,TANet,140.128.0.0/13,ipv4,140.132.0.0,success,,Taiwan,Taiwan,Daxi,24.8786,121.266,T-CCIT.EDU.TW,AS1659 Taiwan Academic Network (TANet) Information Center,140.132.0.0
1659,TANet,140.128.1.0/24,ipv4,140.128.1.128,success,,Taiwan,Taichung City,Taichung,24.144,120.6844,T-TCRC.EDU.TW,AS1659 Taiwan Academic Network (TANet) Information Center,140.128.1.128
1659,TANet,140.128.2.0/23,ipv4,140.128.3.0,success,,Taiwan,Taichung City,Taichung,24.144,120.6844,T-TCRC.EDU.TW,AS1659 Taiwan Academic Network (TANet) Information Center,140.128.3.0
1659,TANet,140.128.4.0/22,ipv4,140.128.6.0,success,,Taiwan,Taichung City,Taichung,24.144,120.6844,T-TCRC.EDU.TW,AS1659 Taiwan Academic Network (TANet) Information Center,140.128.6.0
1659,TANet,140.128.8.0/21,ipv4,140.128.12.0,success,,Taiwan,Taichung City,Taichung,24.144,120.6844,T-TCRC.EDU.TW,AS1659 Taiwan Academic Network (TANet) Information Center,140.128.12.0
1659,TANet,140.128.16.0/20,ipv4,140.128.24.0,success,,Taiwan,Taichung City,Taichung,24.144,120.6844,T-TCRC.EDU.TW,AS1659 Taiwan Academic Network (TANet) Information Center,140.128.24.0
1659,TANet,140.128.32.0/20,ipv4,140.128.40.0,success,,Taiwan,Taichung City,Taichung,24.144,120.6844,T-TCRC.EDU.TW,AS1659 Taiwan Academic Network (TANet) Information Center,140.128.40.0
