asn,name,prefix,family,center_ip,geo_status,geo_message,country,region,city,lat,lon,isp,as,query
3462,HiNet,36.230.0.0/16,ipv4,36.230.128.0,success,,Taiwan,Hsinchu City,Hsinchu,24.8065,120.9706,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,36.230.128.0
3462,HiNet,36.231.0.0/16,ipv4,36.231.128.0,success,,Taiwan,Taipei City,Taipei,25.053,121.5259,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,36.231.128.0
3462,HiNet,36.232.0.0/16,ipv4,36.232.128.0,success,,Taiwan,Taichung City,Taichung,24.144,120.6844,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,36.232.128.0
3462,HiNet,36.233.0.0/16,ipv4,36.233.128.0,success,,Taiwan,Nantou,Nantou City,23.9082,120.6559,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,36.233.128.0
3462,HiNet,36.234.0.0/16,ipv4,36.234.128.0,success,,Taiwan,Changhua,Chang-hua,24.0761,120.5648,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,36.234.128.0
3462,HiNet,36.235.0.0/16,ipv4,36.235.128.0,success,,Taiwan,Changhua,Chang-hua,24.0761,120.5648,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,36.235.128.0
3462,HiNet,36.236.0.0/16,ipv4,36.236.128.0,success,,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,36.236.128.0
3462,HiNet,36.237.0.0/16,ipv4,36.237.128.0,success,,Taiwan,Tainan,Tainan City,22.9917,120.2148,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,36.237.128.0
3462,HiNet,36.238.0.0/16,ipv4,36.238.128.0,success,,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,36.238.128.0
3462,HiNet,36.239.0.0/16,ipv4,36.239.128.0,success,,Taiwan,Pingtung,Pingtung City,22.6745,120.491,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,36.239.128.0
3462,HiNet,59.112.0.0/16,ipv4,59.112.128.0,success,,Taiwan,Taiwan,Taipei,25.033,121.565,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,59.112.128.0
3462,HiNet,59.113.0.0/16,ipv4,59.113.128.0,success,,Taiwan,Taiwan,Taipei,25.033,121.565,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,59.113.128.0
3462,HiNet,59.114.0.0/16,ipv4,59.114.128.0,success,,Taiwan,Taiwan,Taipei,25.033,121.565,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,59.114.128.0
3462,HiNet,59.115.0.0/16,ipv4,59.115.128.0,success,,Taiwan,Hsinchu City,Hsinchu,24.8065,120.9706,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,59.115.128.0
3462,HiNet,59.116.0.0/16,ipv4,59.116.128.0,success,,Taiwan,Taiwan,Taipei,25.033,121.565,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,59.116.128.0
3462,HiNet,59.117.0.0/16,ipv4,59.117.128.0,success,,Taiwan,Taiwan,Taipei,25.033,121.565,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,59.117.128.0
3462,HiNet,59.118.0.0/16,ipv4,59.118.128.0,success,,Taiwan,Taiwan,Taipei,25.033,121.565,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,59.118.128.0
3462,HiNet,59.119.0.0/16,ipv4,59.119.128.0,success,,Taiwan,Taiwan,Taipei,25.033,121.565,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,59.119.128.0
3462,HiNet,59.120.0.0/16,ipv4,59.120.128.0,success,,Taiwan,Taipei City,Taipei,25.053,121.5259,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,59.120.128.0
3462,HiNet,59.121.0.0/16,ipv4,59.121.128.0,success,,Taiwan,Taiwan,Neihu District,25.0689,121.591,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,59.121.128.0
3462,HiNet,59.122.0.0/16,ipv4,59.122.128.0,success,,Taiwan,Taiwan,Taipei,25.033,121.565,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,59.122.128.0
3462,HiNet,59.123.0.0/16,ipv4,59.123.128.0,success,,Taiwan,Taiwan,Taipei,25.033,121.565,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,59.123.128.0
3462,HiNet,59.124.0.0/16,ipv4,59.124.128.0,success,,Taiwan,Taoyuan,Taoyuan District,24.9889,121.3176,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,59.124.128.0
3462,HiNet,59.125.0.0/16,ipv4,59.125.128.0,success,,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,59.125.128.0
3462,HiNet,59.126.0.0/16,ipv4,59.126.128.0,success,,Taiwan,Miaoli,Miaoli,24.5641,120.8275,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,59.126.128.0
3462,HiNet,59.127.0.0/16,ipv4,59.127.128.0,success,,Taiwan,Taichung City,Xitun,24.183,120.6419,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,59.127.128.0
3462,HiNet,60.248.0.0/16,ipv4,60.248.128.0,success,,Taiwan,Taipei City,Taipei,25.053,121.5259,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,60.248.128.0
3462,HiNet,60.249.0.0/16,ipv4,60.249.128.0,success,,Taiwan,Kaohsiung,Kaohsiung,22.6148,120.3139,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,60.249.128.0
3462,HiNet,60.250.0.0/16,ipv4,60.250.128.0,success,,Taiwan,Taipei City,Taipei,25.053,121.5259,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,60.250.128.0
3462,HiNet,60.251.0.0/16,ipv4,60.251.128.0,success,,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,60.251.128.0
3462,HiNet,61.216.0.0/16,ipv4,61.216.128.0,success,,Taiwan,Hsinchu City,Hsinchu,24.8065,120.9706,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,61.216.128.0
3462,HiNet,61.217.0.0/16,ipv4,61.217.128.0,success,,Taiwan,Taiwan,Neihu District,25.0689,121.591,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,61.217.128.0
3462,HiNet,61.218.0.0/16,ipv4,61.218.128.0,success,,Taiwan,Hualien County,Hualien City,23.9807,121.6115,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,61.218.128.0
3462,HiNet,61.219.0.0/16,ipv4,61.219.128.0,success,,Taiwan,Taipei City,Taipei,25.053,121.5259,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,61.219.128.0
3462,HiNet,61.220.0.0/16,ipv4,61.220.128.0,success,,Taiwan,New Taipei City,New Taipei City,25.0693,121.4626,"Chunghwa Telecom Co., Ltd.",AS3462 Data Communication Business Group,61.220.128.0
