source_asn,source_name,target_asn,target_name,occurrences,source_is_taiwan,target_is_taiwan,source_is_tier1,target_is_tier1
2497,,3462,HiNet (Chunghwa),6285,False,True,False,False
4780,SeedNet,131627,,6270,True,False,False,False
199524,,9505,,6250,False,False,False,False
7713,,4780,SeedNet,6244,False,True,False,False
63927,,1299,,6222,False,False,False,True
1299,,1299,,6222,False,False,True,True
3356,,3462,HiNet (Chunghwa),5964,False,True,True,False
60068,,174,,5936,False,False,False,True
18106,,4635,,5863,False,False,False,False
2497,,2914,,5830,False,False,False,True
38880,,1299,,5678,False,False,False,True
6461,,6453,,5651,False,False,True,True
3462,HiNet (Chunghwa),134823,,5552,True,False,False,False
398465,,1299,,5522,False,False,False,True
18106,,9002,,5409,False,False,False,False
2500,,9002,,5339,False,False,False,False
9924,Taiwan Fixed Network,131634,,5267,True,False,False,False
4781,,4781,,5250,False,False,False,False
19151,,2914,,5230,False,False,False,True
151326,,174,,5226,False,False,False,True
58511,,3491,,5206,False,False,False,True
4780,SeedNet,9922,,5203,True,False,False,False
16552,,3257,,5162,False,False,False,True
20940,,16625,,5054,False,False,False,False
24516,,9680,,4894,False,False,False,False
7473,,3491,,4875,False,False,False,True
56179,,56179,,4873,False,False,False,False
6461,,3491,,4869,False,False,True,True
60068,,6453,,4782,False,False,False,True
21859,,135377,,4778,False,False,False,False
16552,,4637,,4741,False,False,False,False
38880,,2914,,4697,False,False,False,True
38880,,9505,,4651,False,False,False,False
6079,,9680,,4606,False,False,False,False
7533,,9676,,4533,False,False,False,False
3356,,9680,,4528,False,False,True,False
16552,,3491,,4521,False,False,False,True
4780,SeedNet,18419,,4517,True,False,False,False
2516,,3491,,4514,False,False,False,True
9002,,3356,,4485,False,False,False,True
7713,,3462,HiNet (Chunghwa),4456,False,True,False,False
4780,SeedNet,133747,,4408,True,False,False,False
63927,,137409,,4343,False,False,False,False
7713,,1299,,4317,False,False,False,True
9002,,6453,,4255,False,False,False,True
4826,,9680,,4246,False,False,False,False
6453,,9002,,4207,False,False,True,False
9924,Taiwan Fixed Network,131628,,4189,True,False,False,False
9922,,9922,,4180,False,False,False,False
4826,,9505,,4166,False,False,False,False
6453,,3491,,4124,False,False,True,True
7500,,2516,,4112,False,False,False,False
6079,,3356,,4099,False,False,False,True
3462,HiNet (Chunghwa),131584,,4085,True,False,False,False
60068,,9505,,4071,False,False,False,False
4780,SeedNet,17809,,4067,True,False,False,False
3491,,3462,HiNet (Chunghwa),3969,False,True,True,False
151326,,3462,HiNet (Chunghwa),3941,False,True,False,False
3491,,6453,,3908,False,False,True,True
2914,,174,,3869,False,False,True,True
9924,Taiwan Fixed Network,7533,,3841,True,False,False,False
24482,,9924,Taiwan Fixed Network,3839,False,True,False,False
3462,HiNet (Chunghwa),4782,,3824,True,False,False,False
6830,,2914,,3735,False,False,True,True
58511,,3257,,3679,False,False,False,True
58511,,9680,,3620,False,False,False,False
3356,,9505,,3576,False,False,True,False
4780,SeedNet,131634,,3572,True,False,False,False
1299,,2914,,3540,False,False,True,True
23673,,3356,,3501,False,False,False,True
23673,,9505,,3426,False,False,False,False
4826,,9002,,3402,False,False,False,False
2500,,9924,Taiwan Fixed Network,3358,False,True,False,False
6453,,9680,,3338,False,False,True,False
24155,,56082,,3296,False,False,False,False
398465,,7922,,3294,False,False,False,False
174,,9505,,3248,False,False,True,False
7575,,3491,,3221,False,False,False,True
4637,,6453,,3080,False,False,False,True
3356,,9924,Taiwan Fixed Network,3079,False,True,True,False
24482,,6453,,3041,False,False,False,True
63927,,3257,,3037,False,False,False,True
3257,,3257,,3037,False,False,True,True
135895,,6939,,3037,False,False,False,False
8888,,6939,,3037,False,False,False,False
23673,,6939,,2970,False,False,False,False
11039,,6939,,2961,False,False,False,False
40934,,174,,2955,False,False,False,True
148968,,7474,,2916,False,False,False,False
19151,,9680,,2898,False,False,False,False
4826,,15412,,2888,False,False,False,False
398465,,6939,,2888,False,False,False,False
2497,,9505,,2887,False,False,False,False
24516,,58453,,2861,False,False,False,False
38880,,6939,,2831,False,False,False,False
293,,2914,,2830,False,False,False,True
6079,,1299,,2781,False,False,False,True
3462,HiNet (Chunghwa),17710,,2756,True,False,False,False
17709,,131142,,2740,False,False,False,False
3356,,2914,,2708,False,False,True,True
2500,,2914,,2656,False,False,False,True
17809,,17809,,2611,False,False,False,False
8220,,3462,HiNet (Chunghwa),2600,False,True,False,False
4780,SeedNet,18185,,2568,True,False,False,False
18106,,9680,,2558,False,False,False,False
58511,,58453,,2552,False,False,False,False
20940,,20940,,2548,False,False,False,False
9674,,18412,,2508,False,False,False,False
24482,,2914,,2497,False,False,False,True
7922,,3491,,2495,False,False,False,True
9924,Taiwan Fixed Network,31972,,2485,True,False,False,False
18106,,2914,,2471,False,False,False,True
4780,SeedNet,9671,,2398,True,False,False,False
134823,,134823,,2379,False,False,False,False
6057,,3462,HiNet (Chunghwa),2360,False,True,False,False
58511,,3462,HiNet (Chunghwa),2332,False,True,False,False
49544,,9680,,2327,False,False,False,False
7575,,9924,Taiwan Fixed Network,2302,False,True,False,False
41095,,9505,,2294,False,False,False,False
7473,,3462,HiNet (Chunghwa),2281,False,True,False,False
3491,,3491,,2274,False,False,True,True
3491,,9680,,2258,False,False,True,False
9924,Taiwan Fixed Network,18415,,2254,True,False,False,False
6830,,174,,2251,False,False,True,True
3491,,2914,,2216,False,False,True,True
398465,,6079,,2212,False,False,False,False
17408,,131627,,2174,False,False,False,False
18185,,9916,,2159,False,False,False,False
2500,,9505,,2140,False,False,False,False
38880,,9680,,2134,False,False,False,False
3462,HiNet (Chunghwa),10229,,2089,True,False,False,False
17709,,131584,,2088,False,False,False,False
23673,,2914,,2086,False,False,False,True
3462,HiNet (Chunghwa),24506,,2073,True,False,False,False
3462,HiNet (Chunghwa),18045,,2039,True,False,False,False
18106,,6939,,1967,False,False,False,False
3320,,2914,,1956,False,False,True,True
49544,,3462,HiNet (Chunghwa),1954,False,True,False,False
63927,,9002,,1953,False,False,False,False
131596,,131596,,1944,False,False,False,False
131588,,131588,,1944,False,False,False,False
199524,,58453,,1941,False,False,False,False
11164,,9680,,1900,False,False,False,False
16552,,58453,,1891,False,False,False,False
17660,,58453,,1891,False,False,False,False
151326,,58453,,1891,False,False,False,False
11039,,6461,,1861,False,False,False,True
24516,,9924,Taiwan Fixed Network,1816,False,True,False,False
58511,,9924,Taiwan Fixed Network,1816,False,True,False,False
6057,,174,,1804,False,False,False,True
60068,,9924,Taiwan Fixed Network,1804,False,True,False,False
6057,,9002,,1792,False,False,False,False
7473,,2914,,1787,False,False,False,True
19151,,9505,,1767,False,False,False,False
3257,,174,,1762,False,False,True,True
9924,Taiwan Fixed Network,135596,,1749,True,False,False,False
63927,,9505,,1748,False,False,False,False
9924,Taiwan Fixed Network,18049,,1744,True,False,False,False
4780,SeedNet,4058,,1737,True,False,False,False
49544,,9505,,1734,False,False,False,False
4780,SeedNet,38851,,1724,True,False,False,False
15412,,3491,,1706,False,False,False,True
2500,,17676,,1699,False,False,False,False
199524,,1299,,1688,False,False,False,True
3257,,1299,,1658,False,False,True,True
58511,,1299,,1646,False,False,False,True
9924,Taiwan Fixed Network,4783,,1613,True,False,False,False
63927,,3462,HiNet (Chunghwa),1582,False,True,False,False
3320,,174,,1575,False,False,True,True
3462,HiNet (Chunghwa),4058,,1560,True,False,False,False
3462,HiNet (Chunghwa),10310,,1530,True,False,False,False
4780,SeedNet,7533,,1516,True,False,False,False
17676,,9924,Taiwan Fixed Network,1507,False,True,False,False
9216,,9216,,1506,False,False,False,False
9505,,7539,TWARENet,1500,False,True,False,False
135895,,4826,,1497,False,False,False,False
24155,,133955,,1488,False,False,False,False
21859,,142002,,1471,False,False,False,False
38880,,3462,HiNet (Chunghwa),1470,False,True,False,False
18049,,18049,,1466,False,False,False,False
4780,SeedNet,7535,,1463,True,False,False,False
4780,SeedNet,131626,,1451,True,False,False,False
2914,,3356,,1445,False,False,True,True
63927,,9924,Taiwan Fixed Network,1432,False,True,False,False
9924,Taiwan Fixed Network,4781,,1416,True,False,False,False
60068,,9680,,1411,False,False,False,False
132337,,8966,,1391,False,False,False,False
37721,,9680,,1390,False,False,False,False
23673,,38623,,1383,False,False,False,False
2497,,174,,1372,False,False,False,True
131143,,131143,,1330,False,False,False,False
8966,,2914,,1324,False,False,False,True
9924,Taiwan Fixed Network,134094,,1308,True,False,False,False
199524,,2914,,1308,False,False,False,True
18415,,18415,,1296,False,False,False,False
19151,,174,,1266,False,False,False,True
9924,Taiwan Fixed Network,131148,,1251,True,False,False,False
2914,,6453,,1208,False,False,True,True
2516,,6453,,1183,False,False,False,True
18045,,18045,,1181,False,False,False,False
132337,,6939,,1179,False,False,False,False
37721,,9505,,1174,False,False,False,False
6939,,15412,,1156,False,False,False,False
63927,,141013,,1156,False,False,False,False
141013,,58453,,1156,False,False,False,False
4780,SeedNet,131273,,1139,True,False,False,False
7575,,9680,,1133,False,False,False,False
134823,,38856,,1129,False,False,False,False
7539,TWARENet,1659,TANet,1128,True,True,False,False
4780,SeedNet,131677,,1110,True,False,False,False
21859,,21859,,1094,False,False,False,False
4780,SeedNet,18422,,1075,True,False,False,False
3462,HiNet (Chunghwa),131588,,1075,True,False,False,False
8220,,9505,,1070,False,False,False,False
3462,HiNet (Chunghwa),54994,,1058,True,False,False,False
9924,Taiwan Fixed Network,131635,,1050,True,False,False,False
4783,,4783,,1040,False,False,False,False
17660,,6453,,1034,False,False,False,True
15412,,6453,,1030,False,False,False,True
7473,,9505,,1021,False,False,False,False
7713,,2914,,1016,False,False,False,True
2914,,1299,,1011,False,False,True,True
135140,,135140,,1010,False,False,False,False
3462,HiNet (Chunghwa),24429,,1003,True,False,False,False
3320,,1299,,972,False,False,True,True
6939,,3462,HiNet (Chunghwa),925,False,True,False,False
7539,TWARENet,18183,,924,True,False,False,False
7713,,58453,,922,False,False,False,False
3257,,9002,,905,False,False,True,False
4637,,9505,,902,False,False,False,False
21859,,131618,,891,False,False,False,False
6939,,6453,,886,False,False,False,True
17709,,131143,,879,False,False,False,False
17709,,131601,,878,False,False,False,False
2516,,3462,HiNet (Chunghwa),878,False,True,False,False
49544,,2914,,866,False,False,False,True
3257,,2914,,865,False,False,True,True
11164,,9505,,859,False,False,False,False
9002,,9505,,841,False,False,False,False
132337,,174,,828,False,False,False,True
7533,,7656,,824,False,False,False,False
38623,,24482,,817,False,False,False,False
6453,,3462,HiNet (Chunghwa),812,False,True,True,False
4780,SeedNet,9216,,797,True,False,False,False
9919,,18413,,790,False,False,False,False
9924,Taiwan Fixed Network,131143,,775,True,False,False,False
4826,,58453,,771,False,False,False,False
60068,,1299,,761,False,False,False,True
17408,,9922,,759,False,False,False,False
4780,SeedNet,56179,,737,True,False,False,False
137409,,15412,,736,False,False,False,False
132337,,3462,HiNet (Chunghwa),733,False,True,False,False
21859,,62654,,733,False,False,False,False
4780,SeedNet,131149,,729,True,False,False,False
1299,,9002,,729,False,False,True,False
4766,,3462,HiNet (Chunghwa),724,False,True,False,False
9924,Taiwan Fixed Network,9671,,719,True,False,False,False
132337,,4766,,709,False,False,False,False
5580,,9924,Taiwan Fixed Network,704,False,True,False,False
16552,,5580,,704,False,False,False,False
5580,,5580,,704,False,False,False,False
9264,,7539,TWARENet,698,False,True,False,False
7660,,9264,,698,False,False,False,False
174,,2914,,697,False,False,True,True
3462,HiNet (Chunghwa),137280,,692,True,False,False,False
3462,HiNet (Chunghwa),131655,,691,True,False,False,False
134823,,138968,,677,False,False,False,False
18106,,4657,,671,False,False,False,False
9924,Taiwan Fixed Network,18413,,670,True,False,False,False
4780,SeedNet,63897,,669,True,False,False,False
21859,,38854,,663,False,False,False,False
16552,,1299,,660,False,False,False,True
38856,,57429,,648,False,False,False,False
3462,HiNet (Chunghwa),13335,,646,True,False,False,False
3462,HiNet (Chunghwa),131587,,642,True,False,False,False
131601,,131601,,636,False,False,False,False
17421,,17421,,636,False,False,False,False
9924,Taiwan Fixed Network,131636,,631,True,False,False,False
131599,,131599,,627,False,False,False,False
9924,Taiwan Fixed Network,17420,,624,True,False,False,False
6939,,9002,,622,False,False,False,False
9924,Taiwan Fixed Network,24429,,614,True,False,False,False
