id,timestamp,source_region,destination_ip,bgp_as_path,latency_ms,traceroute_result
306,"2025-09-17 04:15:45",local_mac,63.222.40.114,"Private → ERX-TANET-ASN1 Taiwan Academic Network TANet Information Center, TW → HURRICANE, US → CONSOLE-CONNECT-ASN, US",27.2575446537563,"192.168.50.1 → 140.123.102.250 → 140.123.9.249 → 140.123.0.246 → 140.130.252.251 → 192.192.61.142 → 192.192.61.20 → 192.192.61.48 → 192.192.68.62 → * → 184.105.80.141 → 184.104.209.50 → 63.223.9.198 → 63.222.40.114"
307,"2025-09-17 04:15:50",local_mac,160.30.98.28,"Private → ERX-TANET-ASN1 Taiwan Academic Network TANet Information Center, TW → TWAREN-TW National Center for High-performance Computing, TW → Private → AS-SIMPLE Simple Information, Inc., TW",16.5710051854451,"192.168.50.1 → 140.123.102.250 → 140.123.9.249 → 140.123.0.246 → 140.130.252.251 → 192.192.61.142 → 192.192.61.37 → 192.192.61.32 → 192.192.61.209 → 211.73.84.13 → 10.146.0.2 → 160.30.98.28"
308,"2025-09-17 04:16:37",local_mac,101.53.31.6,"Private → ERX-TANET-ASN1 Taiwan Academic Network TANet Information Center, TW → HURRICANE, US → NA → NETNAM-AS-AP Netnam Company, VN → NETNAMHCMC-AS-AP Branch of Netnam Company in Ho Chi Minh City, VN → NETNAM-AS-AP Netnam Company, VN",92.6196336746216,"192.168.50.1 → 140.123.102.250 → 140.123.9.249 → 140.123.0.246 → 140.130.252.251 → 192.192.61.142 → 192.192.61.20 → 192.192.61.66 → 192.192.68.30 → * → * → * → 184.104.194.90 → 36.255.56.51 → 119.17.207.142 → 210.86.232.169 → 210.86.233.30 → 210.86.232.101 → * → 101.53.31.6"
309,"2025-09-17 04:17:13",local_mac,171.244.19.251,"Private → ERX-TANET-ASN1 Taiwan Academic Network TANet Information Center, TW → HURRICANE, US → NA → VIETEL-AS-AP Viettel Group, VN → VTDC-AS-VN Vietel - CHT Compamy Ltd, VN → VIETEL-AS-AP Viettel Group, VN",49.9597504025414,"192.168.50.1 → 140.123.102.250 → 140.123.9.249 → 140.123.0.246 → 140.130.252.251 → 192.192.61.142 → 192.192.61.20 → 192.192.61.48 → 192.192.68.62 → * → 184.105.80.141 → 184.104.199.10 → 203.190.231.4 → 27.68.232.19 → 27.68.255.101 → 27.68.236.215 → 203.113.186.212 → 210.211.112.5 → 210.211.112.210 → * → 171.244.19.251"
310,"2025-09-17 04:17:49",local_mac,112.197.5.6,"Private → ERX-TANET-ASN1 Taiwan Academic Network TANet Information Center, TW → HURRICANE, US → SCTV-AS-VN SaiGon Tourist cable Televition Company, VN",27.8988305260153,"192.168.50.1 → 140.123.102.250 → 140.123.9.249 → 140.123.0.246 → 140.130.252.251 → 192.192.61.142 → 192.192.61.20 → 192.192.61.66 → 192.192.68.30 → 65.49.108.1 → * → 72.52.92.137 → 74.82.48.94 → * → * → * → 112.197.5.6"
311,"2025-09-17 04:18:29",local_mac,92.38.135.131,"Private → ERX-TANET-ASN1 Taiwan Academic Network TANet Information Center, TW → HURRICANE, US → CONSOLE-CONNECT-ASN, US → GCORE, LU → GHOST, LU",25.4836503197165,"192.168.50.1 → 140.123.102.250 → 140.123.9.249 → 140.123.0.246 → 140.130.252.251 → 192.192.61.142 → 192.192.61.20 → 192.192.61.48 → 192.192.68.62 → 65.49.108.1 → * → 184.104.209.50 → 63.220.66.169 → * → * → 92.38.165.83 → 92.38.135.131"
312,"2025-09-17 04:19:02",local_mac,141.164.39.1,"Private → ERX-TANET-ASN1 Taiwan Academic Network TANet Information Center, TW → ASN-TELSTRA-GLOBAL Telstra Global, HK → AS-VULTR, US",35.7387693304765,"192.168.50.1 → 140.123.102.250 → 140.123.9.249 → 140.123.0.246 → 140.130.252.251 → 192.192.61.142 → 192.192.61.20 → 192.192.61.66 → 192.192.68.30 → 210.176.44.153 → 202.84.230.89 → 202.84.140.201 → 202.84.140.162 → 202.84.149.102 → 210.176.150.117 → * → * → 141.164.32.164 → 141.164.39.1"
313,"2025-09-17 04:19:27",local_mac,63.222.106.8,"Private → ERX-TANET-ASN1 Taiwan Academic Network TANet Information Center, TW → HURRICANE, US → CONSOLE-CONNECT-ASN, US",25.8487973894392,"192.168.50.1 → 140.123.102.250 → 140.123.9.249 → 140.123.0.246 → 140.130.252.251 → 192.192.61.142 → 192.192.61.20 → 192.192.61.48 → 192.192.68.62 → 65.49.108.1 → * → 184.104.209.50 → 63.218.148.102 → 63.222.106.8"
314,"2025-09-17 04:21:17",local_mac,103.96.67.60,"Private → ERX-TANET-ASN1 Taiwan Academic Network TANet Information Center, TW → HURRICANE, US → NA → HOMENOC Home NOC Operators Group, JP → BGPNAP Border Gateway Protocol Network Analysis Project, JP",54.9642478718477,"192.168.50.1 → 140.123.102.250 → 140.123.9.249 → 140.123.0.246 → 140.130.252.251 → 192.192.61.142 → 192.192.61.20 → 192.192.61.48 → 192.192.68.62 → 65.49.108.1 → 184.104.199.145 → 103.246.232.165 → 103.48.31.100 → 103.48.31.81 → 103.96.64.253 → 103.96.67.26 → 103.96.67.60"
315,"2025-09-17 04:23:21",local_mac,103.167.46.8,"Private → ERX-TANET-ASN1 Taiwan Academic Network TANet Information Center, TW → HURRICANE, US → NA → Unknown → HOMENOC Home NOC Operators Group, JP → KAMOIKE-NET Kamoike.net LLP, JP → SOFTETHER SoftEther Corporation, JP → TOMOCHA-NET Tatsumi, Tomo, JP",49.3470220004811,"192.168.50.1 → 140.123.102.250 → 140.123.9.249 → 140.123.0.246 → 140.130.252.251 → 192.192.61.142 → 192.192.61.20 → 192.192.61.48 → 192.192.68.62 → 65.49.108.1 → 184.104.199.145 → 103.246.232.165 → 103.48.31.100 → 103.48.31.47 → 202.226.3.11 → 103.41.61.74 → 103.167.46.8"
316,"2025-09-17 04:24:07",local_mac,103.48.31.139,"Private → ERX-TANET-ASN1 Taiwan Academic Network TANet Information Center, TW → HURRICANE, US → NA → HOMENOC Home NOC Operators Group, JP",29.605644089835,"192.168.50.1 → 140.123.102.250 → 140.123.9.249 → 140.123.0.246 → 140.130.252.251 → 192.192.61.142 → 192.192.61.20 → 192.192.61.48 → 192.192.68.62 → 65.49.108.1 → 184.104.199.145 → 103.246.232.165 → 103.48.31.107 → 103.48.31.139"
317,"2025-09-17 04:26:00",local_mac,43.228.174.199,"Private → ERX-TANET-ASN1 Taiwan Academic Network TANet Information Center, TW → HURRICANE, US → NA → HOMENOC Home NOC Operators Group, JP → Unknown → MENHERA Human-life Information Platforms Institute, JP → Unknown → MENHERA Human-life Information Platforms Institute, JP",38.5475291146172,"192.168.50.1 → 140.123.102.250 → 140.123.9.249 → 140.123.0.246 → 140.130.252.251 → 192.192.61.142 → 192.192.61.20 → 192.192.61.48 → 192.192.68.62 → 65.49.108.1 → 184.104.199.145 → 103.246.232.165 → 103.48.31.100 → 103.48.31.123 → 43.228.174.131 → 43.228.174.133 → 43.228.174.197 → 43.228.174.199"
318,"2025-09-17 04:26:30",local_mac,103.170.232.152,"Private → ERX-TANET-ASN1 Taiwan Academic Network TANet Information Center, TW → NA → GSL Global Secure Layer, AU → MISAKA3, US → MNI-AS-AP Misaka Network, Inc., US",38.0893588066101,"192.168.50.1 → 140.123.102.250 → 140.123.9.249 → 140.123.0.246 → 140.130.252.251 → 192.192.61.142 → 192.192.61.20 → 192.192.61.48 → 192.192.68.62 → * → 103.158.187.146 → 206.148.24.180 → 206.148.24.149 → 206.148.24.228 → 206.148.24.34 → 206.148.24.37 → 45.11.107.52 → 199.119.64.137 → 103.170.232.11 → 103.170.232.152"
319,"2025-09-17 04:26:59",local_mac,92.38.178.149,"Private → ERX-TANET-ASN1 Taiwan Academic Network TANet Information Center, TW → NA → GCORE, LU → GHOST, LU",19.847043355306,"192.168.50.1 → 140.123.102.250 → 140.123.9.249 → 140.123.0.246 → 140.130.252.251 → 192.192.61.142 → 192.192.61.20 → 192.192.61.48 → 192.192.68.62 → * → * → 101.203.89.26 → * → 5.8.70.65 → 92.38.178.149"
320,"2025-09-17 04:27:42",local_mac,104.238.161.230,"Private → ERX-TANET-ASN1 Taiwan Academic Network TANet Information Center, TW → HURRICANE, US → NA → AS-VULTR, US",27.5471657514572,"192.168.50.1 → 140.123.102.250 → 140.123.9.249 → 140.123.0.246 → 140.130.252.251 → 192.192.61.142 → 192.192.61.20 → 192.192.61.66 → 192.192.68.30 → 65.49.108.1 → 184.105.80.141 → 210.171.225.160 → * → * → 209.222.31.59 → 104.238.161.230"
321,"2025-09-17 04:29:39",local_mac,202.214.97.16,"Private → ERX-TANET-ASN1 Taiwan Academic Network TANet Information Center, TW → HURRICANE, US → NA → IIJ Internet Initiative Japan Inc., JP → Unknown → IIJ Internet Initiative Japan Inc., JP",39.4277969996134,"192.168.50.1 → 140.123.102.250 → 140.123.9.249 → 140.123.0.246 → 140.130.252.251 → 192.192.61.142 → 192.192.61.20 → 192.192.61.66 → 192.192.68.30 → 65.49.108.1 → 184.105.80.141 → 210.173.176.219 → 58.138.101.89 → 58.138.99.130 → 58.138.112.222 → 58.138.114.66 → 210.138.93.42 → 202.214.97.16"
322,"2025-09-17 04:30:08",local_mac,63.222.190.5,"Private → ERX-TANET-ASN1 Taiwan Academic Network TANet Information Center, TW → HURRICANE, US → CONSOLE-CONNECT-ASN, US",21.7705794743129,"192.168.50.1 → 140.123.102.250 → 140.123.9.249 → 140.123.0.246 → 140.130.252.251 → 192.192.61.142 → 192.192.61.20 → 192.192.61.48 → 192.192.68.62 → 65.49.108.1 → * → 184.104.209.50 → 63.223.16.98 → 63.222.190.5"
